,Timestamp,Ping (ms)
261,Sat Feb 11 10:41:47 2023,114.44330215454102
262,Sat Feb 11 10:41:48 2023,23.9412784576416
263,Sat Feb 11 10:41:49 2023,10.009288787841797
264,Sat Feb 11 10:41:50 2023,10.69021224975586
265,Sat Feb 11 10:41:51 2023,46.64444923400879
266,Sat Feb 11 10:41:52 2023,81.96592330932617
267,Sat Feb 11 10:41:53 2023,26.99446678161621
268,Sat Feb 11 10:41:54 2023,24.54352378845215
269,Sat Feb 11 10:41:55 2023,12.639284133911133
270,Sat Feb 11 10:41:56 2023,24.091005325317383
271,Sat Feb 11 10:41:57 2023,11.194467544555664
272,Sat Feb 11 10:41:59 2023,12.61138916015625
273,Sat Feb 11 10:42:00 2023,11.29770278930664
274,Sat Feb 11 10:42:01 2023,9.877204895019531
275,Sat Feb 11 10:42:02 2023,23.769855499267578
276,Sat Feb 11 10:42:03 2023,10.009050369262695
277,Sat Feb 11 10:42:04 2023,24.02949333190918
278,Sat Feb 11 10:42:05 2023,23.75006675720215
279,Sat Feb 11 10:42:06 2023,13.793468475341797
280,Sat Feb 11 10:42:07 2023,24.089336395263672
281,Sat Feb 11 10:42:08 2023,30.907392501831055
282,Sat Feb 11 10:42:09 2023,26.41010284423828
283,Sat Feb 11 10:42:10 2023,31.399250030517578
284,Sat Feb 11 10:42:11 2023,11.289119720458984
285,Sat Feb 11 10:42:12 2023,24.372100830078125
286,Sat Feb 11 10:42:13 2023,25.189876556396484
287,Sat Feb 11 10:42:14 2023,190.31238555908203
288,Sat Feb 11 10:42:15 2023,23.180723190307617
289,Sat Feb 11 10:42:16 2023,9.170055389404297
290,Sat Feb 11 10:42:17 2023,24.964094161987305
291,Sat Feb 11 10:42:18 2023,13.126850128173828
292,Sat Feb 11 10:42:19 2023,24.021387100219727
293,Sat Feb 11 10:42:21 2023,559.8788261413574
294,Sat Feb 11 10:42:22 2023,11.669397354125977
295,Sat Feb 11 10:42:23 2023,10.482549667358398
296,Sat Feb 11 10:42:24 2023,23.61297607421875
